Sector,Year,Volatilita(StdDev),PrezzoMedio
"INC.""",1988,0.0247,0.52
"INC.""",1991,0.0704,0.71
"INC.""",1993,0.1372,1.73
"INC.""",1995,0.2692,2.39
"INC.""",1997,0.7375,4.02
"INC.""",1999,4.3772,10.28
"INC.""",2000,3.5372,10.01
"INC.""",2002,3.8215,11.30
"INC.""",2004,1.7608,13.24
"INC.""",2006,0.8281,15.14
"INC.""",2008,1.9035,12.50
"INC.""",2011,6.1868,19.34
"INC.""",2013,7.0205,21.59
"INC.""",2015,9.5990,23.38
"INC.""",2017,11.6847,25.55
"LTD.""",1997,0.1435,2.47
"LTD.""",1999,0.1072,0.71
"LTD.""",2000,0.4499,1.86
"LTD.""",2002,0.2670,1.47
"LTD.""",2004,0.6303,2.47
"LTD.""",2006,1.1564,6.02
"LTD.""",2008,1.7555,4.18
"LTD.""",2011,0.9908,6.57
"LTD.""",2013,0.8065,6.86
"LTD.""",2015,0.8665,5.25
"LTD.""",2017,0.5375,6.39
"A GE COMPANY""",1988,1.7480,15.06
"A GE COMPANY""",1991,2.8132,25.00
"A GE COMPANY""",1993,2.9265,23.91
"A GE COMPANY""",1995,1.6805,20.77
"A GE COMPANY""",1997,3.7399,40.42
"A GE COMPANY""",1999,5.8674,26.86
"A GE COMPANY""",2000,5.3458,32.56
"A GE COMPANY""",2002,3.8630,32.44
"A GE COMPANY""",2004,3.3932,38.55
"A GE COMPANY""",2006,6.0272,73.53
"A GE COMPANY""",2008,20.0010,65.43
"A GE COMPANY""",2011,9.2642,63.66
"A GE COMPANY""",2013,4.3111,48.46
"A GE COMPANY""",2015,6.1087,58.14
"A GE COMPANY""",2017,12.9505,46.52
CO.,2008,34.5164,74.07
CO.,2011,10.9509,23.27
CO.,2013,2.2715,7.38
CO.,2015,0.8451,8.64
CO.,2017,1.0007,6.51
"CORP.""",2015,5.2230,3.22
"CORP.""",2017,12.2764,15.42
"DICKINSON AND COMPANY""",1980,0.3626,2.42
"DICKINSON AND COMPANY""",1982,0.1708,2.69
"DICKINSON AND COMPANY""",1984,0.1427,2.25
"DICKINSON AND COMPANY""",1986,0.9938,5.95
"DICKINSON AND COMPANY""",1988,0.4102,6.77
"DICKINSON AND COMPANY""",1991,0.6613,8.84
"DICKINSON AND COMPANY""",1993,0.3943,9.19
"DICKINSON AND COMPANY""",1995,1.5552,14.76
"DICKINSON AND COMPANY""",1997,1.3376,24.50
"DICKINSON AND COMPANY""",1999,5.2711,32.07
"DICKINSON AND COMPANY""",2000,2.5153,28.52
"DICKINSON AND COMPANY""",2002,3.4752,32.97
"DICKINSON AND COMPANY""",2004,3.3689,49.94
"DICKINSON AND COMPANY""",2006,4.4392,65.58
"DICKINSON AND COMPANY""",2008,8.4650,81.22
"DICKINSON AND COMPANY""",2011,5.2209,80.22
"DICKINSON AND COMPANY""",2013,7.4598,98.03
"DICKINSON AND COMPANY""",2015,5.3602,143.94
"DICKINSON AND COMPANY""",2017,68.7863,140.42
"GOLD & INCOME TUST""",2012,0.7515,15.10
"GOLD & INCOME TUST""",2014,1.0866,10.26
"GOLD & INCOME TUST""",2016,0.8435,7.02
"GOLD & INCOME TUST""",2018,0.2140,6.39
"INC (ME)""",2001,0.8213,6.27
"INC (ME)""",2003,1.5996,13.07
"INC (ME)""",2005,0.9321,17.67
"INC (ME)""",2007,0.6730,15.76
"INC (ME)""",2009,1.9061,17.05
"INC (ME)""",2010,0.9434,14.37
"INC (ME)""",2012,1.1136,15.74
"INC (ME)""",2014,0.6153,16.79
"INC (ME)""",2016,3.6259,22.03
"INC (ME)""",2018,1.0091,28.69
"INC""",1980,0.2092,2.37
"INC""",1982,0.3633,2.47
"INC""",1984,0.2935,2.65
"INC""",1986,0.9561,3.06
"INC""",1988,0.8792,3.02
"INC""",1991,1.2154,5.12
"INC""",1993,2.0619,6.27
"INC""",1995,11.8877,9.36
"INC""",1997,27.7999,17.33
"INC""",1999,7.3401,9.09
"INC""",2000,34.3425,11.85
"INC""",2002,6.0948,9.06
"INC""",2004,11.3862,13.63
"INC""",2006,10.5108,15.34
"INC""",2008,11.0144,14.25
"INC""",2011,10.9332,16.36
"INC""",2013,311.6269,38.29
"INC""",2015,45.4556,27.09
"INC""",2017,21.5502,24.26
"INC. (HOLDING CO.)""",1984,1.0154,15.31
"INC. (HOLDING CO.)""",1986,1.2788,22.55
"INC. (HOLDING CO.)""",1988,1.8194,10.40
"INC. (HOLDING CO.)""",1991,0.5226,6.22
"INC. (HOLDING CO.)""",1993,0.6700,7.69
"INC. (HOLDING CO.)""",1995,1.1600,9.67
"INC. (HOLDING CO.)""",1997,0.9604,12.50
"INC. (HOLDING CO.)""",1999,1.0295,12.20
"INC. (HOLDING CO.)""",2000,2.8658,13.08
"INC. (HOLDING CO.)""",2002,2.2949,16.15
"INC. (HOLDING CO.)""",2004,2.0194,21.43
"INC. (HOLDING CO.)""",2006,2.2424,26.73
"INC. (HOLDING CO.)""",2008,3.0078,12.52
"INC. (HOLDING CO.)""",2011,1.6589,15.68
"INC. (HOLDING CO.)""",2013,0.9587,22.70
"INC. (HOLDING CO.)""",2015,1.6522,27.64
"INC. (HOLDING CO.)""",2017,3.1785,39.26
"INC. (NJ)""",2003,1.1553,11.91
"INC. (NJ)""",2005,0.6318,15.59
"INC. (NJ)""",2007,0.7220,16.51
"INC. (NJ)""",2009,0.7439,8.99
"INC. (NJ)""",2010,0.5315,8.88
"INC. (NJ)""",2012,0.4393,10.11
"INC. (NJ)""",2014,0.4574,12.97
"INC. (NJ)""",2016,0.8658,10.82
"INC. (NJ)""",2018,0.3910,15.32
"INC. (THE)""",1980,0.4163,0.47
"INC. (THE)""",1982,1.4400,1.40
"INC. (THE)""",1984,11.5689,4.82
"INC. (THE)""",1986,35.0698,17.21
"INC. (THE)""",1988,61.6970,27.73
"INC. (THE)""",1991,30.9353,17.41
"INC. (THE)""",1993,30.9023,19.46
"INC. (THE)""",1995,40.6347,20.00
"INC. (THE)""",1997,23.8030,19.62
"INC. (THE)""",1999,25.4654,24.32
"INC. (THE)""",2000,28.8034,25.68
"INC. (THE)""",2002,30.5128,22.72
"INC. (THE)""",2004,37.6442,27.97
"INC. (THE)""",2006,69.0202,42.40
"INC. (THE)""",2008,42.4981,32.09
"INC. (THE)""",2011,27.2004,27.96
"INC. (THE)""",2013,41.3837,37.20
"INC. (THE)""",2015,54.1631,44.69
"INC. (THE)""",2017,54.9207,46.92
"INC. HOLDING COMPANY""",1980,0.5207,6.03
"INC. HOLDING COMPANY""",1982,1.8985,9.88
"INC. HOLDING COMPANY""",1984,0.5059,12.87
"INC. HOLDING COMPANY""",1986,2.0490,18.18
"INC. HOLDING COMPANY""",1988,1.7423,24.17
"INC. HOLDING COMPANY""",1991,1.3780,25.58
"INC. HOLDING COMPANY""",1993,4.8520,45.02
"INC. HOLDING COMPANY""",1995,2.3174,45.68
"INC. HOLDING COMPANY""",1997,6.0337,54.47
"INC. HOLDING COMPANY""",1999,9.3730,38.28
"INC. HOLDING COMPANY""",2000,3.4169,14.97
"INC. HOLDING COMPANY""",2002,2.9535,20.85
"INC. HOLDING COMPANY""",2004,4.1757,35.47
"INC. HOLDING COMPANY""",2006,7.3082,66.16
"INC. HOLDING COMPANY""",2008,9.3596,34.96
"INC. HOLDING COMPANY""",2011,3.7030,32.64
"INC. HOLDING COMPANY""",2013,4.1650,14.37
"INC. HOLDING COMPANY""",2015,0.7776,8.41
"INC. HOLDING COMPANY""",2017,1.3358,4.84
"INC. OF LOUISIANA""",2008,1.0147,7.98
"INC. OF LOUISIANA""",2011,0.6033,13.12
"INC. OF LOUISIANA""",2013,0.4202,17.48
"INC. OF LOUISIANA""",2015,1.7300,21.36
"INC. OF LOUISIANA""",2017,1.2671,27.09
"INC.""",1971,9.4997,11.78
"INC.""",1973,7.6505,7.23
"INC.""",1975,5.2062,4.72
"INC.""",1977,6.4745,5.84
"INC.""",1979,5.4325,5.72
"INC.""",1980,170.5287,22.77
"INC.""",1982,687.6800,17.88
"INC.""",1984,60.2058,12.53
"INC.""",1986,1588.0793,20.84
"INC.""",1988,19.3642,9.94
"INC.""",1991,19.3546,10.71
"INC.""",1993,567.8382,17.12
"INC.""",1995,5351.6104,243.15
"INC.""",1997,2203.1700,97.31
"INC.""",1999,1609.2540,52.19
"INC.""",2000,3485.9734,159.48
"INC.""",2002,2333.5059,81.98
"INC.""",2004,8319.1559,358.68
"INC.""",2006,9259.6112,452.16
"INC.""",2008,3239.7969,147.82
"INC.""",2011,962.1352,72.26
"INC.""",2013,892.8122,75.78
"INC.""",2015,521.7545,58.02
"INC.""",2017,548.8621,49.08
"INCOME & GROWTH INC.""",2017,0.6530,18.72
"INCORPORATED""",1980,2.4818,3.04
"INCORPORATED""",1982,4.0018,3.75
"INCORPORATED""",1984,5.8842,5.75
"INCORPORATED""",1986,6.9556,7.72
"INCORPORATED""",1988,5.7241,7.95
"INCORPORATED""",1991,5.5902,8.25
"INCORPORATED""",1993,10.7905,13.25
"INCORPORATED""",1995,7.4104,12.97
"INCORPORATED""",1997,9.1137,18.94
"INCORPORATED""",1999,30.4233,26.73
"INCORPORATED""",2000,9.6149,15.72
"INCORPORATED""",2002,11.2880,17.73
"INCORPORATED""",2004,36.8150,33.04
"INCORPORATED""",2006,36.6003,33.64
"INCORPORATED""",2008,16.0819,21.59
"INCORPORATED""",2011,17.3258,21.90
"INCORPORATED""",2013,23.8950,28.76
"INCORPORATED""",2015,35.2732,38.79
"INCORPORATED""",2017,50.8578,45.91
"INDUSTRIALS AND MATERIALS FUND""",2011,2.0049,19.10
"INDUSTRIALS AND MATERIALS FUND""",2013,0.4090,17.07
"INDUSTRIALS AND MATERIALS FUND""",2015,1.2931,14.10
"INDUSTRIALS AND MATERIALS FUND""",2017,0.9440,15.11
"INFRASTRUCTURE & POWER OPPORTUN""",2012,0.6809,18.90
"INFRASTRUCTURE & POWER OPPORTUN""",2014,0.8841,19.71
"INFRASTRUCTURE & POWER OPPORTUN""",2016,1.1539,18.59
"INFRASTRUCTURE & POWER OPPORTUN""",2018,0.5796,20.25
"INTEREST & PREMIUM STRATEGY FUND""",2005,1.2223,23.24
"INTEREST & PREMIUM STRATEGY FUND""",2007,1.1866,24.64
"INTEREST & PREMIUM STRATEGY FUND""",2009,1.3876,12.46
"INTEREST & PREMIUM STRATEGY FUND""",2010,0.8091,15.33
"INTEREST & PREMIUM STRATEGY FUND""",2012,0.6276,16.84
"INTEREST & PREMIUM STRATEGY FUND""",2014,0.6898,18.09
"INTEREST & PREMIUM STRATEGY FUND""",2016,0.5095,12.30
"INTEREST & PREMIUM STRATEGY FUND""",2018,0.2686,12.95
"L.L.C.""",2010,0.0000,7.75
"L.L.C.""",2012,0.9660,7.44
"L.L.C.""",2014,10.2750,16.32
"L.L.C.""",2016,7.7091,11.69
"L.L.C.""",2018,17.8585,18.08
"L.P.""",1986,0.6700,21.32
"L.P.""",1988,6.4364,11.21
"L.P.""",1991,0.7542,8.02
"L.P.""",1993,3.2622,12.81
"L.P.""",1995,5.8794,15.83
"L.P.""",1997,5.5722,18.73
"L.P.""",1999,5.8925,15.11
"L.P.""",2000,5.7051,12.65
"L.P.""",2002,8.1773,15.15
"L.P.""",2004,8.8039,19.19
"L.P.""",2006,9.2310,18.68
"L.P.""",2008,10.3905,17.02
"L.P.""",2011,14.2857,23.70
"L.P.""",2013,15.0545,28.97
"L.P.""",2015,15.9263,29.58
"L.P.""",2017,14.2236,22.68
"LIMITED PARTNERSHIP // VENTAS CAPITAL CORPORATI""",2013,1.7265,23.02
"LIMITED PARTNERSHIP // VENTAS CAPITAL CORPORATI""",2015,0.5246,25.48
"LIMITED PARTNERSHIP // VENTAS CAPITAL CORPORATI""",2017,0.3333,25.24
"LIMITED""",2002,0.5662,12.82
"LIMITED""",2004,10.9918,42.69
"LIMITED""",2006,9.2841,73.18
"LIMITED""",2008,24.8317,85.51
"LIMITED""",2011,64.9873,68.48
"LIMITED""",2013,69.8305,73.16
"LIMITED""",2015,52.5188,53.98
"LIMITED""",2017,55.5942,75.83
"LLC""",1996,3.9241,75.89
"LLC""",1998,8.2415,99.81
"LLC""",2001,5.3601,117.71
"LLC""",2003,3.6060,121.74
"LLC""",2005,54.8928,72.37
"LLC""",2007,45.1696,62.40
"LLC""",2009,9.5567,9.65
"LLC""",2010,12.9337,13.24
"LLC""",2012,13.1836,18.99
"LLC""",2014,14.0406,30.85
"LLC""",2016,9.7216,23.78
"LLC""",2018,9.2384,24.31
"LP""",1999,1.8598,18.25
"LP""",2000,1.5845,17.12
"LP""",2002,0.8467,25.37
"LP""",2004,4.5681,31.12
"LP""",2006,2.1025,34.58
"LP""",2008,8.2911,24.05
"LP""",2011,67.7779,58.40
"LP""",2013,12.6401,31.93
"LP""",2015,20.6592,31.82
"LP""",2017,19.4093,28.69
"LTD""",2008,0.9894,27.91
"LTD""",2011,4.1841,13.37
"LTD""",2013,4.3475,8.80
"LTD""",2015,0.4730,2.10
"LTD""",2017,2.9335,3.36
"LTD.""",1980,0.0791,1.07
"LTD.""",1982,0.2184,1.43
"LTD.""",1984,3.0818,5.35
"LTD.""",1986,14.2531,18.18
"LTD.""",1988,11.1603,14.65
"LTD.""",1991,25.0478,17.69
"LTD.""",1993,31.9128,22.14
"LTD.""",1995,22.2404,14.46
"LTD.""",1997,30.4840,20.05
"LTD.""",1999,37.7621,21.21
"LTD.""",2000,52.0992,27.46
"LTD.""",2002,91.3026,41.06
"LTD.""",2004,125.5249,48.43
"LTD.""",2006,118.4410,48.53
"LTD.""",2008,81.0864,32.74
"LTD.""",2011,67.8820,30.78
"LTD.""",2013,98.5975,39.32
"LTD.""",2015,112.7990,40.35
"LTD.""",2017,135.2577,44.15
"N.V.""",1995,1.2992,11.19
"N.V.""",1997,2.0176,21.43
"N.V.""",1999,1.6702,28.25
"N.V.""",2000,3.6633,31.14
"N.V.""",2002,4.0108,21.91
"N.V.""",2004,2.2725,24.54
"N.V.""",2006,8.3369,32.29
"N.V.""",2008,8.7353,21.36
"N.V.""",2011,5.0530,16.60
"N.V.""",2013,6.6254,19.47
"N.V.""",2015,5.0614,21.96
"N.V.""",2017,4.2892,22.81
"PLC""",1972,0.0972,2.09
"PLC""",1974,0.1384,1.24
"PLC""",1976,0.1590,1.88
"PLC""",1978,0.1137,1.79
"PLC""",1981,0.2577,2.39
"PLC""",1983,0.4757,3.02
"PLC""",1985,0.2407,4.02
"PLC""",1987,0.7777,6.16
"PLC""",1989,0.3641,6.45
"PLC""",1990,0.6988,5.73
"PLC""",1992,0.4748,8.15
"PLC""",1994,0.9000,11.43
"PLC""",1996,0.8903,12.85
"PLC""",1998,2.4297,17.04
"PLC""",2001,3.2798,17.28
"PLC""",2003,6.2844,15.45
"PLC""",2005,14.4132,26.90
"PLC""",2007,28.0462,48.27
"PLC""",2009,16.9984,29.22
"PLC""",2010,15.0433,34.46
"PLC""",2012,16.6344,41.32
"PLC""",2014,26.5567,55.86
"PLC""",2016,27.7987,49.25
"PLC""",2018,28.5047,48.80
RUGER & COMPANY,1980,0.2812,1.94
RUGER & COMPANY,1982,0.2118,2.34
RUGER & COMPANY,1984,0.3073,3.16
RUGER & COMPANY,1986,0.2407,4.77
RUGER & COMPANY,1988,0.5287,4.86
RUGER & COMPANY,1991,0.3564,6.00
RUGER & COMPANY,1993,1.6752,12.24
RUGER & COMPANY,1995,1.0362,15.24
RUGER & COMPANY,1997,1.4671,18.54
RUGER & COMPANY,1999,0.9124,10.00
RUGER & COMPANY,2000,0.7508,8.99
RUGER & COMPANY,2002,1.0972,12.48
RUGER & COMPANY,2004,1.7183,10.87
RUGER & COMPANY,2006,1.3506,7.49
RUGER & COMPANY,2008,0.8340,7.23
RUGER & COMPANY,2011,5.9159,24.43
RUGER & COMPANY,2013,9.0647,56.59
RUGER & COMPANY,2015,6.7778,53.93
RUGER & COMPANY,2017,5.6732,54.63
"S.A. DE C.V.""",2000,0.8943,14.80
"S.A. DE C.V.""",2002,2.0172,13.41
"S.A. DE C.V.""",2004,2.6226,21.37
"S.A. DE C.V.""",2006,3.7028,34.85
"S.A. DE C.V.""",2008,12.2834,40.33
"S.A. DE C.V.""",2011,9.3539,47.33
"S.A. DE C.V.""",2013,33.9017,88.02
"S.A. DE C.V.""",2015,35.4435,111.16
"S.A. DE C.V.""",2017,45.4706,141.91
"S.A.""",1993,14.1804,21.90
"S.A.""",1995,14.4772,16.02
"S.A.""",1997,18.2149,20.62
"S.A.""",1999,7.5883,15.19
"S.A.""",2000,7.8593,15.38
"S.A.""",2002,5.5541,8.48
"S.A.""",2004,3.5051,12.25
"S.A.""",2006,7.8362,17.61
"S.A.""",2008,8.8299,19.38
"S.A.""",2011,20.1932,25.03
"S.A.""",2013,46.1211,41.44
"S.A.""",2015,27.8553,30.52
"S.A.""",2017,40.4235,39.78
S.A.,2013,1.1141,14.82
S.A.,2015,1.1761,9.43
S.A.,2017,1.1250,8.87
"S.A.B. DE C.V.""",2002,0.4446,2.64
"S.A.B. DE C.V.""",2004,0.8434,6.28
"S.A.B. DE C.V.""",2006,2.1435,18.45
"S.A.B. DE C.V.""",2008,5.8103,24.86
"S.A.B. DE C.V.""",2011,2.3366,25.68
"S.A.B. DE C.V.""",2013,2.8657,20.42
"S.A.B. DE C.V.""",2015,3.7413,17.33
"S.A.B. DE C.V.""",2017,2.5114,14.82
"S.P.A.""",1993,1.8899,9.89
"S.P.A.""",1995,1.8734,18.24
"S.P.A.""",1997,2.2428,23.57
"S.P.A.""",1999,2.0041,18.28
"S.P.A.""",2000,0.8239,11.52
"S.P.A.""",2002,1.8824,12.98
"S.P.A.""",2004,0.5088,10.55
"S.P.A.""",2006,0.3017,7.25
"S.P.A.""",2008,0.6621,3.32
"S.P.A.""",2011,0.7240,3.42
"S.P.A.""",2013,0.1409,2.14
"S.P.A.""",2015,0.2817,1.89
"S.P.A.""",2017,0.4371,2.42
"SERIES 1""",1999,9.9799,61.13
"SERIES 1""",2000,12.6415,89.87
"SERIES 1""",2002,5.8975,29.05
"SERIES 1""",2004,1.7582,36.41
"SERIES 1""",2006,2.2315,40.71
"SERIES 1""",2008,6.9915,41.79
"SERIES 1""",2011,1.8844,56.32
"SERIES 1""",2013,6.1735,74.73
"SERIES 1""",2015,3.8558,108.22
"SERIES 1""",2017,9.6524,140.33
"TBK""",1996,2.1432,28.35
"TBK""",1998,1.7123,6.13
"TBK""",2001,0.7195,5.37
"TBK""",2003,2.5242,11.04
"TBK""",2005,1.5885,20.50
"TBK""",2007,3.4258,45.30
"TBK""",2009,5.8706,30.83
"TBK""",2010,2.6029,37.11
"TBK""",2012,3.6208,35.22
"TBK""",2014,3.7131,42.72
"TBK""",2016,12.2014,51.90
"TBK""",2018,2.3361,27.28
BASIC INDUSTRIES,1971,2.7595,5.43
BASIC INDUSTRIES,1973,2.9380,5.24
BASIC INDUSTRIES,1975,4.0825,5.67
BASIC INDUSTRIES,1977,3.7181,5.99
BASIC INDUSTRIES,1979,2.5253,6.38
BASIC INDUSTRIES,1980,5.9321,6.35
BASIC INDUSTRIES,1982,4.2310,5.33
BASIC INDUSTRIES,1984,6.0040,7.17
BASIC INDUSTRIES,1986,10.3632,9.44
BASIC INDUSTRIES,1988,11.8231,11.14
BASIC INDUSTRIES,1991,13.0384,11.84
BASIC INDUSTRIES,1993,13.3447,13.79
BASIC INDUSTRIES,1995,14.1709,15.68
BASIC INDUSTRIES,1997,14.1759,17.43
BASIC INDUSTRIES,1999,13.5664,15.77
BASIC INDUSTRIES,2000,22.5799,16.41
BASIC INDUSTRIES,2002,16.9241,15.23
BASIC INDUSTRIES,2004,17.4144,19.18
BASIC INDUSTRIES,2006,18.5916,26.54
BASIC INDUSTRIES,2008,33.3918,30.76
BASIC INDUSTRIES,2011,24.9215,31.23
BASIC INDUSTRIES,2013,30.0295,31.51
BASIC INDUSTRIES,2015,40.1144,30.38
BASIC INDUSTRIES,2017,43.8447,36.34
CAPITAL GOODS,1971,112.7732,59.12
CAPITAL GOODS,1973,96.9147,38.19
CAPITAL GOODS,1975,75.1554,28.61
CAPITAL GOODS,1977,84.4518,27.76
CAPITAL GOODS,1979,102.9264,34.21
CAPITAL GOODS,1980,78.2135,22.84
CAPITAL GOODS,1982,63.9876,15.15
CAPITAL GOODS,1984,98.1295,22.63
CAPITAL GOODS,1986,239.5751,40.92
CAPITAL GOODS,1988,180.3867,28.15
CAPITAL GOODS,1991,12.3382,9.41
CAPITAL GOODS,1993,55.8989,12.68
CAPITAL GOODS,1995,74.4379,17.31
CAPITAL GOODS,1997,122.8961,30.74
CAPITAL GOODS,1999,54.0203,22.92
CAPITAL GOODS,2000,153.8369,32.28
CAPITAL GOODS,2002,20.3954,17.87
CAPITAL GOODS,2004,54.1622,27.72
CAPITAL GOODS,2006,34.9996,30.81
CAPITAL GOODS,2008,23.2182,26.68
CAPITAL GOODS,2011,21.1581,28.05
CAPITAL GOODS,2013,29.9639,36.11
CAPITAL GOODS,2015,41.2968,41.15
CAPITAL GOODS,2017,53.6796,50.43
CONSUMER DURABLES,1971,0.7790,15.81
CONSUMER DURABLES,1973,6.0190,6.52
CONSUMER DURABLES,1975,4.5527,4.78
CONSUMER DURABLES,1977,4.8483,5.10
CONSUMER DURABLES,1979,3.7866,4.11
CONSUMER DURABLES,1980,2.8549,3.15
CONSUMER DURABLES,1982,4.5284,4.19
CONSUMER DURABLES,1984,5.0763,5.24
CONSUMER DURABLES,1986,8.3567,8.57
CONSUMER DURABLES,1988,8.0415,9.47
CONSUMER DURABLES,1991,10.7788,10.92
CONSUMER DURABLES,1993,31.1310,19.13
CONSUMER DURABLES,1995,508.9291,33.13
CONSUMER DURABLES,1997,216.0406,28.16
CONSUMER DURABLES,1999,57.3224,29.16
CONSUMER DURABLES,2000,66.1579,26.98
CONSUMER DURABLES,2002,18.4389,18.98
CONSUMER DURABLES,2004,24.1307,25.14
CONSUMER DURABLES,2006,21.2378,26.10
CONSUMER DURABLES,2008,36.2725,22.36
CONSUMER DURABLES,2011,35.2915,24.47
CONSUMER DURABLES,2013,26.1460,30.50
