Sector,Year,Volatilita(StdDev),PrezzoMedio
"L.P.""",1990,1.4336,7.34
"L.P.""",1992,1.1631,10.98
"L.P.""",1994,5.2098,13.92
"L.P.""",1996,5.8347,17.82
"L.P.""",1998,6.0588,18.95
"L.P.""",2001,7.1576,15.69
"L.P.""",2003,8.6995,17.18
"L.P.""",2005,9.5196,19.50
"L.P.""",2007,11.0633,21.82
"L.P.""",2009,10.8575,15.82
"L.P.""",2010,13.5514,21.00
"L.P.""",2012,13.3473,24.16
"L.P.""",2014,17.6251,33.65
"L.P.""",2016,13.3463,22.66
"L.P.""",2018,13.3367,20.53
"LIMITED PARTNERSHIP // VENTAS CAPITAL CORPORATI""",2014,0.8994,23.69
"LIMITED PARTNERSHIP // VENTAS CAPITAL CORPORATI""",2016,1.0177,26.27
"LIMITED PARTNERSHIP // VENTAS CAPITAL CORPORATI""",2018,0.1235,25.01
"LIMITED""",2003,3.5303,17.71
"LIMITED""",2005,8.8967,55.83
"LIMITED""",2007,21.1053,113.56
"LIMITED""",2009,16.0519,45.57
"LIMITED""",2010,41.3057,50.29
"LIMITED""",2012,54.5437,57.60
"LIMITED""",2014,97.4956,102.61
"LIMITED""",2016,41.2257,49.91
"LIMITED""",2018,68.4865,105.72
"LLC""",1997,6.7721,90.60
"LLC""",1999,3.8886,98.26
"LLC""",2000,6.2758,101.77
"LLC""",2002,3.2323,124.69
"LLC""",2004,55.8661,69.54
"LLC""",2006,55.0936,72.19
"LLC""",2008,14.1762,22.38
"LLC""",2011,12.7257,15.25
"LLC""",2013,14.2226,26.38
"LLC""",2015,12.9690,28.12
"LLC""",2017,8.4645,26.85
"LP""",2001,1.8733,23.80
"LP""",2003,6.7441,23.82
"LP""",2005,2.9869,35.72
"LP""",2007,4.5385,34.65
"LP""",2009,11.0730,19.22
"LP""",2010,53.8284,45.64
"LP""",2012,24.0721,35.58
"LP""",2014,20.3299,38.11
"LP""",2016,18.5998,26.17
"LP""",2018,16.3128,24.83
"LTD""",2009,0.7453,30.20
"LTD""",2010,5.1132,25.94
"LTD""",2012,2.1897,4.67
"LTD""",2014,3.3269,9.03
"LTD""",2016,0.4470,3.48
"LTD""",2018,3.0777,3.87
"LTD.""",1981,0.3778,1.73
"LTD.""",1983,1.6708,2.60
"LTD.""",1985,8.3731,9.64
"LTD.""",1987,13.6381,15.46
"LTD.""",1989,12.8468,15.48
"LTD.""",1990,14.8004,12.49
"LTD.""",1992,28.2887,21.10
"LTD.""",1994,23.8744,15.52
"LTD.""",1996,23.9869,17.15
"LTD.""",1998,39.0569,21.64
"LTD.""",2001,92.9971,41.58
"LTD.""",2003,103.3687,44.39
"LTD.""",2005,141.9950,54.58
"LTD.""",2007,110.4616,45.69
"LTD.""",2009,48.7833,24.18
"LTD.""",2010,59.1803,29.35
"LTD.""",2012,87.9606,34.55
"LTD.""",2014,101.2241,40.62
"LTD.""",2016,126.1356,40.61
"LTD.""",2018,132.2952,47.68
"N.V.""",1994,0.3575,8.91
"N.V.""",1996,1.2737,15.21
"N.V.""",1998,4.7246,29.26
"N.V.""",2001,4.3727,31.39
"N.V.""",2003,3.0509,17.92
"N.V.""",2005,2.7409,28.62
"N.V.""",2007,9.8355,30.86
"N.V.""",2009,3.7280,12.45
"N.V.""",2010,4.9394,16.10
"N.V.""",2012,6.8280,17.20
"N.V.""",2014,5.2638,21.37
"N.V.""",2016,6.3114,21.11
"N.V.""",2018,4.4928,22.68
"PLC""",1973,0.2034,1.63
"PLC""",1975,0.0836,1.28
"PLC""",1977,0.1337,1.95
"PLC""",1979,0.1070,1.89
"PLC""",1980,0.2387,1.95
"PLC""",1982,0.1919,2.10
"PLC""",1984,0.2908,3.48
"PLC""",1986,0.2672,5.10
"PLC""",1988,0.2613,5.67
"PLC""",1991,0.4612,6.42
"PLC""",1993,0.8931,9.93
"PLC""",1995,0.8235,11.69
"PLC""",1997,3.2930,15.86
"PLC""",1999,3.3896,20.08
"PLC""",2000,8.4426,23.07
"PLC""",2002,4.1122,14.80
"PLC""",2004,9.7035,21.20
"PLC""",2006,20.5610,37.40
"PLC""",2008,25.9795,40.09
"PLC""",2011,15.8093,39.49
"PLC""",2013,21.7373,49.80
"PLC""",2015,24.7569,51.80
"PLC""",2017,29.3365,49.39
RUGER & COMPANY,1981,0.2151,2.09
RUGER & COMPANY,1983,0.4016,3.28
RUGER & COMPANY,1985,0.4702,3.84
RUGER & COMPANY,1987,0.4242,4.28
RUGER & COMPANY,1989,1.2906,6.88
RUGER & COMPANY,1990,0.4610,6.20
RUGER & COMPANY,1992,1.0340,8.36
RUGER & COMPANY,1994,0.8878,14.03
RUGER & COMPANY,1996,2.9159,19.68
RUGER & COMPANY,1998,2.9186,16.51
RUGER & COMPANY,2001,0.9457,10.40
RUGER & COMPANY,2003,0.9116,10.23
RUGER & COMPANY,2005,1.0046,8.12
RUGER & COMPANY,2007,3.6282,13.41
RUGER & COMPANY,2009,2.1114,11.00
RUGER & COMPANY,2010,1.8602,14.14
RUGER & COMPANY,2012,5.3119,45.09
RUGER & COMPANY,2014,12.1499,56.45
RUGER & COMPANY,2016,6.3888,62.07
RUGER & COMPANY,2018,4.1682,55.20
"S.A. DE C.V.""",2001,2.8271,16.31
"S.A. DE C.V.""",2003,2.3177,14.03
"S.A. DE C.V.""",2005,3.7892,32.28
"S.A. DE C.V.""",2007,4.9528,48.86
"S.A. DE C.V.""",2009,9.5867,31.32
"S.A. DE C.V.""",2010,8.8053,42.59
"S.A. DE C.V.""",2012,23.2140,61.38
"S.A. DE C.V.""",2014,31.5522,94.00
"S.A. DE C.V.""",2016,29.4949,120.18
"S.A. DE C.V.""",2018,48.8093,111.84
"S.A.""",1992,9.9689,15.12
"S.A.""",1994,14.6130,18.66
"S.A.""",1996,21.6521,21.43
"S.A.""",1998,10.7917,16.20
"S.A.""",2001,11.3092,16.85
"S.A.""",2003,2.8064,8.47
"S.A.""",2005,4.0792,13.85
"S.A.""",2007,16.1910,25.74
"S.A.""",2009,12.1457,19.09
"S.A.""",2010,16.6894,24.80
"S.A.""",2012,27.2826,29.03
"S.A.""",2014,44.9647,41.85
"S.A.""",2016,23.6684,27.57
"S.A.""",2018,39.5986,39.70
S.A.,2012,0.9093,14.56
S.A.,2014,1.2560,12.47
S.A.,2016,0.7983,8.56
S.A.,2018,0.5240,7.35
"S.A.B. DE C.V.""",2001,0.4151,2.95
"S.A.B. DE C.V.""",2003,0.7358,3.24
"S.A.B. DE C.V.""",2005,2.0855,10.74
"S.A.B. DE C.V.""",2007,3.7461,28.23
"S.A.B. DE C.V.""",2009,3.8667,19.33
"S.A.B. DE C.V.""",2010,2.0657,25.37
"S.A.B. DE C.V.""",2012,1.2746,24.63
"S.A.B. DE C.V.""",2014,6.4502,17.63
"S.A.B. DE C.V.""",2016,2.9790,14.59
"S.A.B. DE C.V.""",2018,5.1241,14.12
"S.P.A.""",1994,1.2468,14.90
"S.P.A.""",1996,1.4786,24.43
"S.P.A.""",1998,3.3141,23.38
"S.P.A.""",2001,0.8923,12.84
"S.P.A.""",2003,0.8821,9.21
"S.P.A.""",2005,1.2441,9.04
"S.P.A.""",2007,1.3364,7.37
"S.P.A.""",2009,0.6721,2.11
"S.P.A.""",2010,0.6502,3.74
"S.P.A.""",2012,0.4655,2.50
"S.P.A.""",2014,0.3919,2.41
"S.P.A.""",2016,0.1388,1.58
"S.P.A.""",2018,0.0823,1.62
"SERIES 1""",2001,8.7714,43.59
"SERIES 1""",2003,3.9109,30.34
"SERIES 1""",2005,1.7195,38.34
"SERIES 1""",2007,3.2186,47.79
"SERIES 1""",2009,5.5648,36.77
"SERIES 1""",2010,3.3678,47.87
"SERIES 1""",2012,2.8188,64.84
"SERIES 1""",2014,6.0503,94.13
"SERIES 1""",2016,6.1817,111.39
"SERIES 1""",2018,7.2994,169.45
"TBK""",1995,2.0229,20.33
"TBK""",1997,6.8920,24.98
"TBK""",1999,2.0131,8.51
"TBK""",2000,1.9400,7.54
"TBK""",2002,1.0114,7.84
"TBK""",2004,1.9650,17.91
"TBK""",2006,5.3789,33.61
"TBK""",2008,7.3877,33.21
"TBK""",2011,1.3138,33.66
"TBK""",2013,4.1257,41.54
"TBK""",2015,2.5025,42.37
"TBK""",2017,2.2118,32.15
BASIC INDUSTRIES,1970,2.8568,5.32
BASIC INDUSTRIES,1972,2.3671,5.64
BASIC INDUSTRIES,1974,3.4366,5.11
BASIC INDUSTRIES,1976,5.5751,7.21
BASIC INDUSTRIES,1978,2.4455,5.76
BASIC INDUSTRIES,1981,5.3060,6.47
BASIC INDUSTRIES,1983,6.0220,7.60
BASIC INDUSTRIES,1985,7.2841,7.63
BASIC INDUSTRIES,1987,13.7923,11.77
BASIC INDUSTRIES,1989,13.3297,12.46
BASIC INDUSTRIES,1990,13.1874,11.18
BASIC INDUSTRIES,1992,13.0811,13.11
BASIC INDUSTRIES,1994,14.3305,14.53
BASIC INDUSTRIES,1996,15.7052,16.98
BASIC INDUSTRIES,1998,13.0607,16.64
BASIC INDUSTRIES,2001,18.3446,15.85
BASIC INDUSTRIES,2003,15.4765,14.96
BASIC INDUSTRIES,2005,16.3904,21.29
BASIC INDUSTRIES,2007,30.5142,33.75
BASIC INDUSTRIES,2009,21.3137,21.65
BASIC INDUSTRIES,2010,25.3530,28.30
BASIC INDUSTRIES,2012,25.2858,29.04
BASIC INDUSTRIES,2014,37.5500,35.03
BASIC INDUSTRIES,2016,39.2516,30.08
BASIC INDUSTRIES,2018,43.4898,38.94
CAPITAL GOODS,1970,100.6675,52.76
CAPITAL GOODS,1972,122.8212,56.57
CAPITAL GOODS,1974,70.8979,27.16
CAPITAL GOODS,1976,82.6862,31.03
CAPITAL GOODS,1978,90.5108,29.84
CAPITAL GOODS,1981,69.3851,18.58
CAPITAL GOODS,1983,88.2765,21.48
CAPITAL GOODS,1985,127.1723,26.27
CAPITAL GOODS,1987,245.7152,41.70
CAPITAL GOODS,1989,31.5698,12.95
CAPITAL GOODS,1990,20.6874,9.99
CAPITAL GOODS,1992,97.6268,15.10
CAPITAL GOODS,1994,37.2996,12.54
CAPITAL GOODS,1996,68.1520,22.63
CAPITAL GOODS,1998,75.0017,26.16
CAPITAL GOODS,2001,28.3911,19.45
CAPITAL GOODS,2003,45.0749,20.43
CAPITAL GOODS,2005,43.3053,28.85
CAPITAL GOODS,2007,29.9693,34.67
CAPITAL GOODS,2009,15.6542,18.39
CAPITAL GOODS,2010,18.0393,24.31
CAPITAL GOODS,2012,22.9763,28.23
CAPITAL GOODS,2014,36.9681,42.56
CAPITAL GOODS,2016,43.8381,40.16
CAPITAL GOODS,2018,64.3131,56.61
CONSUMER DURABLES,1970,1.0845,13.41
CONSUMER DURABLES,1972,0.7697,15.07
CONSUMER DURABLES,1974,3.8236,4.00
CONSUMER DURABLES,1976,5.5010,5.82
CONSUMER DURABLES,1978,4.0415,4.42
CONSUMER DURABLES,1981,3.3796,3.79
CONSUMER DURABLES,1983,6.0006,5.82
CONSUMER DURABLES,1985,5.7415,6.18
CONSUMER DURABLES,1987,9.6101,10.10
CONSUMER DURABLES,1989,8.1713,10.43
CONSUMER DURABLES,1990,7.5348,9.41
CONSUMER DURABLES,1992,23.7105,17.06
CONSUMER DURABLES,1994,38.2009,20.10
CONSUMER DURABLES,1996,248.7190,23.89
CONSUMER DURABLES,1998,37.1420,25.55
CONSUMER DURABLES,2001,30.9035,21.49
CONSUMER DURABLES,2003,20.8559,19.75
CONSUMER DURABLES,2005,20.2015,24.87
CONSUMER DURABLES,2007,30.2693,28.50
CONSUMER DURABLES,2009,38.3737,19.68
CONSUMER DURABLES,2010,47.6099,24.95
CONSUMER DURABLES,2012,19.5002,23.81
CONSUMER DURABLES,2014,38.5240,34.48
CONSUMER DURABLES,2016,45.6880,38.63
CONSUMER DURABLES,2018,46.8788,42.57
CONSUMER NON-DURABLES,1970,0.2117,0.60
CONSUMER NON-DURABLES,1972,0.2304,1.20
CONSUMER NON-DURABLES,1974,1.2438,1.64
CONSUMER NON-DURABLES,1976,2.8552,3.02
CONSUMER NON-DURABLES,1978,5.1180,3.71
CONSUMER NON-DURABLES,1981,6.7735,4.12
CONSUMER NON-DURABLES,1983,11.8363,6.28
CONSUMER NON-DURABLES,1985,16.2231,8.81
CONSUMER NON-DURABLES,1987,16.8601,10.27
CONSUMER NON-DURABLES,1989,16.9898,12.27
CONSUMER NON-DURABLES,1990,17.1524,12.67
CONSUMER NON-DURABLES,1992,21.1821,15.70
CONSUMER NON-DURABLES,1994,200.8042,25.74
CONSUMER NON-DURABLES,1996,31.2243,18.90
CONSUMER NON-DURABLES,1998,27.1787,21.52
CONSUMER NON-DURABLES,2001,19.0515,18.88
CONSUMER NON-DURABLES,2003,24.1860,21.16
CONSUMER NON-DURABLES,2005,43.5357,32.20
CONSUMER NON-DURABLES,2007,70.1855,42.56
CONSUMER NON-DURABLES,2009,19.7988,23.07
CONSUMER NON-DURABLES,2010,21.9068,28.96
CONSUMER NON-DURABLES,2012,29.2070,33.11
CONSUMER NON-DURABLES,2014,35.0905,42.04
CONSUMER NON-DURABLES,2016,39.5238,42.44
CONSUMER NON-DURABLES,2018,49.9830,47.32
CONSUMER SERVICES,1970,0.1779,0.48
CONSUMER SERVICES,1972,0.6107,1.37
CONSUMER SERVICES,1974,7.4773,4.66
CONSUMER SERVICES,1976,9.2733,5.11
CONSUMER SERVICES,1978,5.0355,3.76
CONSUMER SERVICES,1981,231.9747,49.68
CONSUMER SERVICES,1983,153.1792,36.19
CONSUMER SERVICES,1985,84.5102,24.78
CONSUMER SERVICES,1987,35.4886,18.88
CONSUMER SERVICES,1989,47.5525,20.45
CONSUMER SERVICES,1990,126.1233,24.75
CONSUMER SERVICES,1992,128.1743,24.10
CONSUMER SERVICES,1994,136.3407,23.43
CONSUMER SERVICES,1996,315.0257,35.51
CONSUMER SERVICES,1998,107.4020,34.86
CONSUMER SERVICES,2001,222.2808,35.62
CONSUMER SERVICES,2003,385.8909,37.39
CONSUMER SERVICES,2005,1049.9803,79.08
CONSUMER SERVICES,2007,1350.1008,123.20
CONSUMER SERVICES,2009,952.3458,76.59
CONSUMER SERVICES,2010,1845.7028,184.72
CONSUMER SERVICES,2012,777.0094,75.51
CONSUMER SERVICES,2014,1105.1367,86.44
CONSUMER SERVICES,2016,946.8697,78.72
CONSUMER SERVICES,2018,474.4320,46.97
ENERGY,1970,1.7376,2.75
ENERGY,1972,1.3771,3.43
ENERGY,1974,2.2582,3.25
ENERGY,1976,3.9535,4.63
ENERGY,1978,2.4032,3.90
ENERGY,1981,88.7875,26.28
ENERGY,1983,26.2131,11.58
ENERGY,1985,14.1895,9.09
ENERGY,1987,14.2000,10.05
ENERGY,1989,15.3300,10.42
ENERGY,1990,20.1492,12.27
ENERGY,1992,12.6918,10.75
ENERGY,1994,22.2276,13.86
ENERGY,1996,57.4580,21.71
ENERGY,1998,72.5232,25.12
ENERGY,2001,52.3456,23.98
ENERGY,2003,19.4726,20.02
ENERGY,2005,107.4207,41.92
ENERGY,2007,413.9460,96.25
ENERGY,2009,218.7725,48.10
ENERGY,2010,584.4202,98.82
ENERGY,2012,1220.7011,134.21
ENERGY,2014,2633.1397,159.55
ENERGY,2016,1133.5208,106.64
ENERGY,2018,55.5920,32.17
FINANCE,1972,0.1045,1.11
FINANCE,1974,0.7294,1.12
FINANCE,1976,0.7070,1.31
FINANCE,1978,5.8508,4.15
FINANCE,1981,4.7898,3.75
FINANCE,1983,6.6807,5.06
FINANCE,1985,8.8860,7.14
FINANCE,1987,9.4966,8.15
FINANCE,1989,13.7541,8.87
FINANCE,1990,11.9560,7.93
FINANCE,1992,13.3349,10.01
FINANCE,1994,14.6148,11.89
FINANCE,1996,21.3876,16.92
FINANCE,1998,46.6707,29.54
FINANCE,2001,46.9067,28.09
FINANCE,2003,62.5022,33.22
FINANCE,2005,69.4063,40.36
FINANCE,2007,63.2299,41.62
FINANCE,2009,25.6600,19.90
FINANCE,2010,979.8254,79.50
FINANCE,2012,259.4906,43.58
FINANCE,2014,6408.1688,333.11
FINANCE,2016,550.4292,51.87
FINANCE,2018,66.8294,40.29
HEALTH CARE,1971,2.7505,4.49
HEALTH CARE,1973,3.3373,5.38
HEALTH CARE,1975,1.9869,3.73
HEALTH CARE,1977,1.9919,3.54
HEALTH CARE,1979,2.4683,4.34
HEALTH CARE,1980,3.2729,3.45
HEALTH CARE,1982,5.3906,4.97
HEALTH CARE,1984,7.7595,6.07
HEALTH CARE,1986,309.8096,31.55
HEALTH CARE,1988,536.5713,83.38
HEALTH CARE,1991,1040.8320,175.42
HEALTH CARE,1993,663.8035,91.18
HEALTH CARE,1995,675.7306,71.75
HEALTH CARE,1997,653.5184,115.46
HEALTH CARE,1999,480.7932,71.43
HEALTH CARE,2000,15893.5244,648.25
HEALTH CARE,2002,4067.9938,166.74
HEALTH CARE,2004,2592.6329,157.48
HEALTH CARE,2006,992.2065,107.98
HEALTH CARE,2008,217.6429,55.32
HEALTH CARE,2011,262.9566,49.08
HEALTH CARE,2013,620.3238,59.53
HEALTH CARE,2015,298.6480,51.47
HEALTH CARE,2017,58.2917,36.34
"INC.""",1998,2.1212,24.93
"INC.""",2001,4.1009,14.24
"INC.""",2003,7.0960,25.26
"INC.""",2005,4.4497,48.00
"INC.""",2007,2.5342,50.13
"INC.""",2009,2.7697,24.64
"INC.""",2010,3.3156,21.90
"INC.""",2012,3.2384,18.91
"INC.""",2014,3.7104,24.46
"INC.""",2016,5.1702,24.95
"INC.""",2018,3.8452,52.43
MISCELLANEOUS,1972,0.1165,1.27
MISCELLANEOUS,1974,0.0644,0.62
MISCELLANEOUS,1976,0.0622,0.96
MISCELLANEOUS,1978,0.1817,1.45
MISCELLANEOUS,1981,1.4737,3.24
MISCELLANEOUS,1983,9.7296,10.16
MISCELLANEOUS,1985,19.0471,18.84
MISCELLANEOUS,1987,22.8686,21.53
MISCELLANEOUS,1989,26.1209,20.34
MISCELLANEOUS,1990,20.3100,17.29
MISCELLANEOUS,1992,993.1726,87.10
MISCELLANEOUS,1994,37.2369,25.75
MISCELLANEOUS,1996,531.0967,42.08
MISCELLANEOUS,1998,1206.3510,93.51
MISCELLANEOUS,2001,1245.2055,58.85
MISCELLANEOUS,2003,335.9649,18.09
MISCELLANEOUS,2005,623.3972,47.61
MISCELLANEOUS,2007,224.3500,32.60
MISCELLANEOUS,2009,235.4519,26.66
MISCELLANEOUS,2010,215.8357,36.93
MISCELLANEOUS,2012,96.3111,39.89
MISCELLANEOUS,2014,166.5959,57.17
MISCELLANEOUS,2016,177.5506,58.43
MISCELLANEOUS,2018,257.1496,82.88
N/A,1976,0.7006,2.20
N/A,1978,14.6122,21.30
N/A,1981,9.1374,15.01
N/A,1983,10.6588,18.78
N/A,1985,6.4868,16.96
N/A,1987,9.1084,16.62
N/A,1989,10.4689,14.71
N/A,1990,10.5546,13.84
N/A,1992,23.7712,17.77
N/A,1994,15.5797,15.10
N/A,1996,17.1013,15.62
N/A,1998,31.9672,18.41
N/A,2001,68.1672,22.12
N/A,2003,21.0024,18.13
N/A,2005,43.7397,22.85
N/A,2007,111.6623,28.87
N/A,2009,35.7059,19.54
N/A,2010,171.1750,32.43
N/A,2012,55.5725,28.20
N/A,2014,44.9078,29.47
N/A,2016,1786.5603,43.01
N/A,2018,5016.2539,143.14
PUBLIC UTILITIES,1971,7.1809,13.63
PUBLIC UTILITIES,1973,8.3403,10.67
PUBLIC UTILITIES,1975,5.3161,6.80
PUBLIC UTILITIES,1977,6.3509,8.50
PUBLIC UTILITIES,1979,5.4785,7.92
PUBLIC UTILITIES,1980,4.6488,6.60
PUBLIC UTILITIES,1982,5.1265,7.28
PUBLIC UTILITIES,1984,5.9785,8.55
PUBLIC UTILITIES,1986,10.7217,13.94
PUBLIC UTILITIES,1988,12.9809,14.24
PUBLIC UTILITIES,1991,14.8635,17.22
PUBLIC UTILITIES,1993,26.2715,22.97
PUBLIC UTILITIES,1995,20.7052,20.46
PUBLIC UTILITIES,1997,67.8601,31.92
PUBLIC UTILITIES,1999,51.3981,32.37
PUBLIC UTILITIES,2000,104.8062,41.14
PUBLIC UTILITIES,2002,18.2432,18.44
PUBLIC UTILITIES,2004,23.8666,22.49
PUBLIC UTILITIES,2006,22.8340,26.45
PUBLIC UTILITIES,2008,25.4590,26.87
PUBLIC UTILITIES,2011,109.3255,27.57
PUBLIC UTILITIES,2013,240.7782,49.37
PUBLIC UTILITIES,2015,881.3992,73.70
PUBLIC UTILITIES,2017,579.9906,52.56
TECHNOLOGY,1970,7.4202,7.55
TECHNOLOGY,1972,9.0172,8.09
TECHNOLOGY,1974,107.2708,47.22
TECHNOLOGY,1976,112.5475,49.98
TECHNOLOGY,1978,77.8019,36.08
TECHNOLOGY,1981,28.0290,10.13
TECHNOLOGY,1983,32.4151,12.64
TECHNOLOGY,1985,36.4981,11.76
TECHNOLOGY,1987,60.3116,15.09
TECHNOLOGY,1989,35.6812,11.21
TECHNOLOGY,1990,17.6814,7.56
TECHNOLOGY,1992,14.7122,8.13
TECHNOLOGY,1994,57.2093,15.30
TECHNOLOGY,1996,94.7572,27.79
TECHNOLOGY,1998,119.0096,36.23
TECHNOLOGY,2001,49.8763,29.21
TECHNOLOGY,2003,2611.8088,85.89
TECHNOLOGY,2005,533.6056,40.21
TECHNOLOGY,2007,635.9229,57.38
TECHNOLOGY,2009,163.3909,22.56
TECHNOLOGY,2010,76.9024,24.09
TECHNOLOGY,2012,59.7691,25.63
TECHNOLOGY,2014,75.8984,38.04
TECHNOLOGY,2016,71.4678,34.95
TECHNOLOGY,2018,101.9765,47.86
TRANSPORTATION,1978,0.3069,1.51
TRANSPORTATION,1981,2.4953,3.74
TRANSPORTATION,1983,3.5357,5.66
TRANSPORTATION,1985,3.3732,5.90
TRANSPORTATION,1987,4.7499,7.66
TRANSPORTATION,1989,4.1285,7.38
TRANSPORTATION,1990,4.1393,7.51
TRANSPORTATION,1992,4.9142,9.88
TRANSPORTATION,1994,7.1620,12.62
TRANSPORTATION,1996,8.9495,15.08
TRANSPORTATION,1998,19.1730,16.35
TRANSPORTATION,2001,10.5023,16.40
TRANSPORTATION,2003,18.3578,20.19
TRANSPORTATION,2005,2660.0399,362.72
TRANSPORTATION,2007,6011.8885,1099.20
TRANSPORTATION,2009,1359.4153,259.58
TRANSPORTATION,2010,1196.4562,235.64
TRANSPORTATION,2012,1711.5803,127.68
TRANSPORTATION,2014,370.8145,62.84
TRANSPORTATION,2016,11985.9398,299.24
TRANSPORTATION,2018,49.6222,33.26
